,community,year,keep_row
305,EDGEWATER,2003.0,34
306,EDGEWATER,2004.0,31
307,EDGEWATER,2005.0,21
308,EDGEWATER,2006.0,33
309,EDGEWATER,2007.0,24
310,EDGEWATER,2008.0,4
311,EDGEWATER,2009.0,37
312,EDGEWATER,2010.0,2
313,EDGEWATER,2011.0,22
314,EDGEWATER,2012.0,8
315,EDGEWATER,2013.0,23
316,EDGEWATER,2014.0,9
317,EDGEWATER,2015.0,27
318,EDGEWATER,2016.0,9
319,EDGEWATER,2017.0,28
320,EDGEWATER,2018.0,9
321,EDGEWATER,2019.0,36
322,EDGEWATER,2020.0,13
323,EDGEWATER,2021.0,31
324,EDISON PARK,2002.0,1
325,EDISON PARK,2003.0,3
326,EDISON PARK,2004.0,1
327,EDISON PARK,2008.0,1
328,EDISON PARK,2009.0,3
329,EDISON PARK,2010.0,3
330,EDISON PARK,2011.0,1
331,EDISON PARK,2012.0,4
332,EDISON PARK,2013.0,1
333,EDISON PARK,2014.0,3
334,EDISON PARK,2015.0,1
335,EDISON PARK,2016.0,3
336,EDISON PARK,2017.0,2
337,EDISON PARK,2018.0,4
338,EDISON PARK,2019.0,2
339,EDISON PARK,2020.0,2
340,EDISON PARK,2021.0,1
341,ENGLEWOOD,2007.0,1
342,ENGLEWOOD,2008.0,5
343,ENGLEWOOD,2009.0,1
344,ENGLEWOOD,2010.0,4
345,ENGLEWOOD,2012.0,3
346,ENGLEWOOD,2013.0,2
347,ENGLEWOOD,2014.0,3
348,ENGLEWOOD,2015.0,3
349,ENGLEWOOD,2016.0,2
350,ENGLEWOOD,2017.0,3
351,ENGLEWOOD,2018.0,6
352,ENGLEWOOD,2019.0,4
353,ENGLEWOOD,2020.0,2
354,ENGLEWOOD,2021.0,6
355,FOREST GLEN,2002.0,6
356,FOREST GLEN,2003.0,6
357,FOREST GLEN,2004.0,6
358,FOREST GLEN,2005.0,5
359,FOREST GLEN,2006.0,5
360,FOREST GLEN,2007.0,5
361,FOREST GLEN,2008.0,5
362,FOREST GLEN,2009.0,5
363,FOREST GLEN,2010.0,2
364,FOREST GLEN,2011.0,4
365,FOREST GLEN,2013.0,3
366,FOREST GLEN,2015.0,3
367,FOREST GLEN,2017.0,4
368,FOREST GLEN,2019.0,3
369,FOREST GLEN,2021.0,3
370,FULLER PARK,2005.0,2
371,FULLER PARK,2006.0,1
372,FULLER PARK,2007.0,1
373,FULLER PARK,2009.0,1
374,FULLER PARK,2011.0,1
375,FULLER PARK,2013.0,1
376,FULLER PARK,2015.0,1
377,FULLER PARK,2017.0,1
378,FULLER PARK,2018.0,1
379,FULLER PARK,2020.0,2
380,FULLER PARK,2021.0,2
