,LONGITUDE,LATITUDE
75668,-87.651182688,41.833618869
75723,-87.697050383,41.984404991
76000,-87.714941884,41.786172839
76003,-87.635094409,41.853605986
76188,-87.624812444,41.893216223
76249,-87.653415624,41.9179944
76310,-87.650710654,41.779773674
76370,-87.681389447,41.957673949
76594,-87.692834057,41.981866037
76811,-87.657382024,41.983559426
76827,-87.602108133,41.751211787
76874,-87.660135907,41.99052009
77187,-87.644223955,41.939194111
77341,-87.692834057,41.981866037
77492,-87.666563343,42.020509239
77514,-87.637131776,41.880557025
77613,-87.632728358,41.852271061
77657,-87.638887444,41.881664289
77683,-87.716263848,41.981249671
77797,-87.670532173,41.706454243
77828,-87.636403135,41.929904874
77831,-87.605547143,41.778708617
77885,-87.68286119,41.910277011
77950,-87.658604614,41.891769778
78049,-87.693220135,41.968467022
78075,-87.708499442,41.964611762
78080,-87.634022032,41.878006063
78092,-87.731564037,41.931842244
78133,-87.647493345,41.89175404
78328,-87.627876078,41.880715138
78354,-87.680911906,41.679311763
78469,-87.747675133,41.953491522
78488,-87.625867137,41.891590741
78539,-87.648763817,41.921270644
78574,-87.624662555,41.885848995
78616,-87.645495992,41.84755805
78829,-87.653962589,41.943820984
78841,-87.651831571,41.88004797
78905,-87.689982849,41.99628183
78952,-87.630950486,41.878814822
79054,-87.714360878,41.854570359
79064,-87.681838366,41.718398193
79226,-87.63318903,41.878014487
79256,-87.620422057,41.893365397
79300,-87.622184053,41.857838242
79305,-87.621438688,41.890001335
79389,-87.638245404,41.882007859
79480,-87.617589151,41.893341296
79555,-87.6474973,41.884515458
79637,-87.624307178,41.891688517
79701,-87.625850989,41.883111687
79746,-87.685607439,41.845303556
79920,-87.758346968,41.968005707
80024,-87.605084722,41.789611845
80192,-87.652417194,41.921647052
80204,-87.604769836,41.788311258
80215,-87.588363686,41.800409524
80224,-87.655843244,41.973408536
80264,-87.635165443,41.881967467
80294,-87.666019096,41.937513752
80296,-87.66652853,41.869371085
80302,-87.658604614,41.891769778
80363,-87.626976034,41.883109079
80419,-87.635165443,41.881967467
80458,-87.596601477,41.79517545
80511,-87.674822359,41.968923564
80620,-87.649294571,41.908619727
80624,-87.748872621,41.915176904
80646,-87.612866633,41.85110748
80697,-87.625572735,41.878147859
80896,-87.637155093,41.881407212
81127,-87.76603991,41.938469953
81238,-87.699692085,41.994787517
81277,-87.680589203,41.917585992
81319,-87.637024697,41.920148393
81444,-87.626015798,41.869062517
81465,-87.64511919,41.943554985
81511,-87.710323101,41.992344902
81720,-87.625912729,41.896600154
81803,-87.588936218,41.80073555
81830,-87.679075957,41.954854382
81843,-87.677634151,41.896010179
81845,-87.588936218,41.80073555
82005,-87.644198417,41.938435181
82064,-87.674874698,41.948339267
82138,-87.632062286,41.878025655
82244,-87.637024697,41.920148393
82626,-87.63311319,41.852726786
82719,-87.766696606,41.940000631
82726,-87.740458945,41.902331663
82738,-87.631848443,41.85202315
82784,-87.637064995,41.878138181
82821,-87.667356168,41.893249886
82853,-87.632831712,41.895283321
82863,-87.675252665,41.91063004
82972,-87.684667428,41.914900977
83099,-87.693856639,41.968461303
83196,-87.677372094,41.912923547
83278,-87.660640927,41.965460917
83295,-87.647466848,41.880426198
83314,-87.626078783,41.882567066
83483,-87.586027906,41.747353626
83489,-87.605547143,41.778708617
83771,-87.660796569,41.869242742
83810,-87.653928731,41.932746527
83824,-87.629689352,41.882104119
83873,-87.699150883,41.924150306
83963,-87.644198417,41.938435181
84004,-87.660260763,41.994444076
84008,-87.622612699,41.884628445
84072,-87.632189133,41.880931558
84112,-87.62661991,41.896808636
84147,-87.818541985,42.004147172
84242,-87.639725027,41.880699246
84293,-87.64732107,41.875771337
84311,-87.635027745,41.90483115
84340,-87.660604008,41.858709158
84348,-87.650807818,41.881826302
84500,-87.744664923,41.931668929
84516,-87.644198417,41.938435181
84555,-87.678062723,41.910364022
84642,-87.680911906,41.679311763
