,CCA_name,Year,crimes,coffeeshops
311,Chicago Lawn,2013.0,357.0,3.0
312,Chicago Lawn,2014.0,274.0,2.0
313,Chicago Lawn,2015.0,255.0,1.0
314,Chicago Lawn,2016.0,307.0,1.0
315,Chicago Lawn,2017.0,299.0,1.0
316,Chicago Lawn,2018.0,299.0,2.5
317,Chicago Lawn,2019.0,244.0,4.0
318,Chicago Lawn,2020.0,210.0,1.0
319,Chicago Lawn,2021.0,156.0,6.0
320,Clearing,2002.0,16.0,1.0
321,Clearing,2003.0,22.0,1.0
322,Clearing,2004.0,27.0,1.0
323,Clearing,2005.0,16.0,1.0
324,Clearing,2006.0,31.0,1.0
325,Clearing,2007.0,19.0,1.0
326,Clearing,2008.0,30.0,1.0
327,Clearing,2009.0,32.0,2.0
328,Clearing,2010.0,16.0,1.0
329,Clearing,2011.0,18.0,1.0
330,Clearing,2012.0,23.0,1.0
331,Clearing,2013.0,17.0,1.0
332,Clearing,2014.0,16.0,1.0
333,Clearing,2015.0,27.0,1.0
334,Clearing,2016.0,27.0,1.5
335,Clearing,2017.0,17.0,2.0
336,Clearing,2018.0,17.0,2.0
337,Clearing,2019.0,14.0,2.0
338,Clearing,2020.0,24.0,1.0
339,Clearing,2021.0,16.0,3.0
340,Douglas,2002.0,178.0,2.8333333333333335
341,Douglas,2003.0,242.0,2.6666666666666665
342,Douglas,2004.0,244.0,2.5
343,Douglas,2005.0,218.0,2.3333333333333335
344,Douglas,2006.0,200.0,2.166666666666667
345,Douglas,2007.0,168.0,2.0
346,Douglas,2008.0,144.0,2.0
347,Douglas,2009.0,114.0,2.0
348,Douglas,2010.0,100.0,2.0
349,Douglas,2011.0,133.0,2.0
350,Douglas,2012.0,127.0,2.0
351,Douglas,2013.0,123.0,1.0
352,Douglas,2014.0,139.0,2.0
353,Douglas,2015.0,92.0,1.5
354,Douglas,2016.0,182.0,1.0
355,Douglas,2017.0,160.0,1.0
356,Douglas,2018.0,120.0,1.0
357,Douglas,2019.0,88.0,2.0
358,Douglas,2020.0,85.0,3.0
359,Douglas,2021.0,67.0,2.0
360,Dunning,2002.0,36.0,20.0
361,Dunning,2003.0,46.0,18.0
362,Dunning,2004.0,68.0,26.0
363,Dunning,2005.0,37.0,23.0
364,Dunning,2006.0,43.0,18.0
365,Dunning,2007.0,49.0,21.0
366,Dunning,2008.0,58.0,20.0
367,Dunning,2009.0,47.0,19.0
368,Dunning,2010.0,45.0,1.0
369,Dunning,2011.0,33.0,19.0
370,Dunning,2012.0,37.0,4.0
371,Dunning,2013.0,29.0,13.0
372,Dunning,2014.0,23.0,4.0
373,Dunning,2015.0,30.0,11.0
374,Dunning,2016.0,54.0,2.0
375,Dunning,2017.0,29.0,13.0
376,Dunning,2018.0,22.0,2.0
377,Dunning,2019.0,17.0,13.0
378,Dunning,2020.0,19.0,4.0
379,Dunning,2021.0,21.0,6.0
380,East Garfield Park,2002.0,303.0,1.0
381,East Garfield Park,2003.0,340.0,1.0
382,East Garfield Park,2004.0,308.0,1.0
383,East Garfield Park,2005.0,273.0,1.0
384,East Garfield Park,2006.0,335.0,1.0
385,East Garfield Park,2007.0,288.0,1.0
386,East Garfield Park,2008.0,365.0,1.0
387,East Garfield Park,2009.0,312.0,1.0
388,East Garfield Park,2010.0,345.0,1.0
389,East Garfield Park,2011.0,303.0,1.0
390,East Garfield Park,2012.0,347.0,1.0
391,East Garfield Park,2013.0,258.0,1.0
392,East Garfield Park,2014.0,231.0,1.0
393,East Garfield Park,2015.0,243.0,3.0
394,East Garfield Park,2016.0,256.0,6.0
395,East Garfield Park,2017.0,267.0,3.0
396,East Garfield Park,2018.0,315.0,5.0
397,East Garfield Park,2019.0,222.0,6.0
398,East Garfield Park,2020.0,210.0,6.0
399,East Garfield Park,2021.0,143.0,3.0
400,East Side,2002.0,28.0,3.0
401,East Side,2003.0,49.0,3.0
402,East Side,2004.0,39.0,4.0
403,East Side,2005.0,45.0,2.0
404,East Side,2006.0,36.0,2.0
405,East Side,2007.0,49.0,2.0
406,East Side,2008.0,39.0,2.0
407,East Side,2009.0,38.0,2.0
408,East Side,2010.0,33.0,2.0
409,East Side,2011.0,20.0,2.0
410,East Side,2012.0,28.0,1.8888888888888888
411,East Side,2013.0,28.0,1.7777777777777777
412,East Side,2014.0,20.0,1.6666666666666667
413,East Side,2015.0,32.0,1.5555555555555556
414,East Side,2016.0,25.0,1.4444444444444444
415,East Side,2017.0,26.0,1.3333333333333335
416,East Side,2018.0,31.0,1.2222222222222223
417,East Side,2019.0,25.0,1.1111111111111112
418,East Side,2020.0,19.0,1.0
419,East Side,2021.0,19.0,1.0
420,Edgewater,2002.0,139.0,31.0
421,Edgewater,2003.0,169.0,34.0
422,Edgewater,2004.0,197.0,31.0
423,Edgewater,2005.0,192.0,21.0
424,Edgewater,2006.0,169.0,33.0
425,Edgewater,2007.0,115.0,24.0
426,Edgewater,2008.0,167.0,4.0
427,Edgewater,2009.0,113.0,37.0
428,Edgewater,2010.0,165.0,2.0
429,Edgewater,2011.0,131.0,22.0
430,Edgewater,2012.0,103.0,8.0
431,Edgewater,2013.0,102.0,23.0
432,Edgewater,2014.0,64.0,9.0
433,Edgewater,2015.0,56.0,27.0
434,Edgewater,2016.0,93.0,9.0
435,Edgewater,2017.0,94.0,28.0
436,Edgewater,2018.0,77.0,9.0
437,Edgewater,2019.0,69.0,36.0
438,Edgewater,2020.0,62.0,13.0
439,Edgewater,2021.0,55.0,31.0
440,Edison Park,2002.0,1.0,1.0
441,Edison Park,2003.0,2.0,3.0
442,Edison Park,2004.0,3.0,1.0
443,Edison Park,2005.0,1.0,1.0
444,Edison Park,2006.0,4.0,1.0
445,Edison Park,2007.0,2.0,1.0
446,Edison Park,2008.0,4.0,1.0
447,Edison Park,2009.0,2.0,3.0
448,Edison Park,2010.0,3.0,3.0
449,Edison Park,2011.0,3.5,1.0
450,Edison Park,2012.0,4.0,4.0
451,Edison Park,2013.0,1.0,1.0
452,Edison Park,2014.0,1.0,3.0
453,Edison Park,2015.0,1.0,1.0
454,Edison Park,2016.0,4.0,3.0
455,Edison Park,2017.0,3.0,2.0
456,Edison Park,2018.0,1.0,4.0
457,Edison Park,2019.0,2.0,2.0
458,Edison Park,2020.0,1.0,2.0
459,Edison Park,2021.0,1.0,1.0
460,Englewood,2002.0,421.0,1.0
