,timeperiod_x,CCA_name,Year,crimes,year,coffeeshops
142,2010-2014,South Shore,10060,2616.0,10060.0,20.0
143,2010-2014,Uptown,10060,698.0,10060.0,45.0
144,2010-2014,Washington Heights,10060,941.0,10060.0,1.0
145,2010-2014,Washington Park,10060,901.0,10060.0,1.0
146,2010-2014,West Elsdon,10060,280.0,0.0,0.0
147,2010-2014,West Englewood,10060,2241.0,0.0,0.0
148,2010-2014,West Garfield Park,10060,1492.0,0.0,0.0
149,2010-2014,West Lawn,10060,452.0,10060.0,4.0
150,2010-2014,West Pullman,10060,1158.0,10060.0,1.0
151,2010-2014,West Ridge,10060,743.0,10060.0,41.0
152,2010-2014,West Town,10060,1764.0,10060.0,199.0
153,2010-2014,Woodlawn,10060,1133.0,10060.0,13.0
154,2015-2019,Albany Park,10085,601.0,10085.0,104.0
155,2015-2019,Archer Heights,10085,146.0,10085.0,7.0
156,2015-2019,Armour Square,10085,441.0,10085.0,28.0
157,2015-2019,Ashburn,10085,516.0,10085.0,0.0
158,2015-2019,Auburn Gresham,10085,1778.0,10085.0,13.0
159,2015-2019,Austin,10085,4171.0,10085.0,40.0
160,2015-2019,Avalon Park,10085,279.0,10085.0,7.0
161,2015-2019,Avondale,10085,474.0,10085.0,76.0
162,2015-2019,Belmont Cragin,10085,835.0,10085.0,64.0
163,2015-2019,Beverly,10085,93.0,10085.0,17.0
164,2015-2019,Bridgeport,10085,226.0,10085.0,30.0
165,2015-2019,Brighton Park,10085,591.0,10085.0,26.0
166,2015-2019,Burnside,10085,85.0,10085.0,20.0
167,2015-2019,Calumet Heights,10085,288.0,0.0,0.0
168,2015-2019,Chatham,10085,1469.0,0.0,0.0
169,2015-2019,Chicago Lawn,10085,1404.0,0.0,0.0
170,2015-2019,Clearing,10085,102.0,0.0,0.0
171,2015-2019,Douglas,10085,642.0,10085.0,15.0
172,2015-2019,Dunning,10085,152.0,10085.0,41.0
173,2015-2019,East Garfield Park,10085,1303.0,10085.0,33.0
174,2015-2019,East Side,10085,139.0,0.0,0.0
175,2015-2019,Edgewater,10085,389.0,10085.0,109.0
176,2015-2019,Edison Park,10085,11.0,10085.0,12.0
177,2015-2019,Englewood,10085,1429.0,10085.0,27.0
178,2015-2019,Forest Glen,10085,25.0,10085.0,10.0
179,2015-2019,Fuller Park,10085,264.0,0.0,0.0
180,2015-2019,Gage Park,10085,614.0,10085.0,14.0
181,2015-2019,Garfield Ridge,10085,214.0,10085.0,46.0
182,2015-2019,Grand Boulevard,10085,808.0,0.0,0.0
183,2015-2019,Greater Grand Crossing,10085,1659.0,0.0,0.0
184,2015-2019,Hegewisch,10085,53.0,0.0,0.0
185,2015-2019,Hermosa,10085,247.0,0.0,0.0
186,2015-2019,Humboldt Park,10085,1802.0,10085.0,39.0
187,2015-2019,Hyde Park,10085,474.0,10085.0,87.0
188,2015-2019,Irving Park,10085,459.0,0.0,0.0
189,2015-2019,Jefferson Park,10085,100.0,10085.0,21.0
190,2015-2019,Kenwood,10085,381.0,10085.0,13.0
191,2015-2019,Lake View,10085,1059.0,10085.0,217.0
192,2015-2019,Lincoln Park,10085,685.0,10085.0,179.0
193,2015-2019,Lincoln Square,10085,229.0,10085.0,110.0
194,2015-2019,Logan Square,10085,944.0,10085.0,127.0
195,2015-2019,Loop,10085,1475.0,10085.0,388.0
196,2015-2019,Lower West Side,10085,449.0,10085.0,62.0
197,2015-2019,Mckinley Park,10085,165.0,0.0,0.0
198,2015-2019,Montclare,10085,76.0,10085.0,18.0
199,2015-2019,Morgan Park,10085,258.0,10085.0,12.0
200,2015-2019,Mount Greenwood,10085,34.0,0.0,0.0
201,2015-2019,Near North Side,10085,1731.0,10085.0,273.0
202,2015-2019,Near South Side,10085,303.0,10085.0,23.0
203,2015-2019,Near West Side,10085,1789.0,10085.0,252.0
204,2015-2019,New City,10085,1046.0,10085.0,19.0
205,2015-2019,North Center,10085,204.0,10085.0,73.0
206,2015-2019,North Lawndale,10085,2103.0,10085.0,24.0
207,2015-2019,North Park,10085,128.0,0.0,0.0
208,2015-2019,Norwood Park,10085,58.0,10085.0,9.0
209,2015-2019,O'Hare,10085,50.0,0.0,0.0
210,2015-2019,Oakland,10085,128.0,0.0,0.0
211,2015-2019,Portage Park,10085,390.0,10085.0,58.0
212,2015-2019,Pullman,10085,144.0,10085.0,2.0
213,2015-2019,Riverdale,10085,233.0,0.0,0.0
214,2015-2019,Rogers Park,10085,716.0,10085.0,49.0
215,2015-2019,Roseland,10085,1543.0,0.0,0.0
216,2015-2019,South Chicago,10085,885.0,10085.0,21.0
217,2015-2019,South Deering,10085,293.0,10085.0,0.0
218,2015-2019,South Lawndale,10085,1056.0,10085.0,27.0
219,2015-2019,South Shore,10085,1980.0,10085.0,36.0
220,2015-2019,Uptown,10085,572.0,10085.0,68.0
221,2015-2019,Washington Heights,10085,625.0,10085.0,17.0
222,2015-2019,Washington Park,10085,678.0,10085.0,9.0
223,2015-2019,West Elsdon,10085,239.0,0.0,0.0
224,2015-2019,West Englewood,10085,1507.0,0.0,0.0
225,2015-2019,West Garfield Park,10085,1637.0,0.0,0.0
226,2015-2019,West Lawn,10085,360.0,10085.0,9.0
227,2015-2019,West Pullman,10085,711.0,10085.0,9.0
228,2015-2019,West Ridge,10085,578.0,10085.0,42.0
229,2015-2019,West Town,10085,1611.0,10085.0,201.0
