,timeperiod,GEOG,crimes,coffeeshops,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,EMP,UNEMP,TOT_POP,WHITE,HISP,BLACK,ASIAN,POP_HH,AsianPerc,BlackPerc,HispPerc,WhitePerc,UnemployedPerc,EmployedPerc,Inc25k,Inc50k,Inc75k,Inc100k,Inc150k,Inc_gt150k
27,2005-2009,Garfield Ridge,479.0,72.0,2205.0,2663.0,2310.0,1863.0,1846.0,1041.0,60706.38933,15780.0,2004.0,33894.0,17953.0,13184.0,1933.0,628.0,33793.0,0.018528353100843806,0.057030742904348855,0.38897740012981646,0.5296807694577211,0.059125508939635335,0.46556912727916444,0.06505576208178439,0.07856847819673099,0.06815365551425032,0.05496548061603824,0.054463916917448514,0.03071340060187644
28,2005-2009,Grand Boulevard,1310.0,0.0,4387.0,1909.0,1391.0,866.0,771.0,554.0,30154.15419,8574.0,2746.0,23151.0,944.0,698.0,21091.0,60.0,22872.0,0.002591680704937152,0.9110189624638244,0.030149885534102198,0.04077577642434452,0.11861258692929032,0.370351172735519,0.18949505420932142,0.08245864109541705,0.0600837976761263,0.037406591507926225,0.0333030970584424,0.023929851842253033
29,2005-2009,Greater Grand Crossing,2965.0,0.0,5580.0,3228.0,1970.0,879.0,621.0,327.0,29254.15489,11270.0,3375.0,32873.0,324.0,451.0,31659.0,25.0,32405.0,0.0007605025400784838,0.9630699966537888,0.013719465823015848,0.00985611291941715,0.10266784291059532,0.34283454506738054,0.1697441669455176,0.09819608797493383,0.059927600158184526,0.026739269309159493,0.018890883095549538,0.009947373224226569
30,2005-2009,Hegewisch,87.0,0.0,986.5982421,1027.823647,520.6669794,518.9684131,350.516205,297.9456652,45178.05814,3928.610605,417.4001013,10202.47595,3990.567439,5189.618814,933.0,17.28970126,10182.47595,0.001694657389513376,0.09144839003516593,0.5086626853553132,0.39113715715252434,0.04091164765744927,0.3850644318352939,0.09670184442826352,0.10074256994450449,0.051033394437945225,0.05086690874287236,0.03435599424275046,0.02920327052571979
31,2005-2009,Hermosa,453.0,0.0,1816.0,2319.0,1574.0,731.0,453.0,177.0,41201.41713,11208.0,1694.0,25068.0,1974.0,22612.0,196.0,111.0,25046.0,0.004427955959789373,0.007818733046114568,0.9020264879527685,0.07874581139301101,0.06757619275570448,0.44710387745332697,0.07244295516195948,0.09250837721397798,0.06278921333971597,0.029160682942396682,0.01807084729535663,0.007060794638583054
32,2005-2009,Humboldt Park,2599.0,21.0,7263.0,4440.0,2679.0,1286.0,718.0,392.0,29778.33107,18299.0,3821.0,54351.0,3009.0,27823.0,22680.0,147.0,54106.0,0.002704642048904344,0.4172876304023845,0.511913304263031,0.05536236683777667,0.0703022943460102,0.33668193777483396,0.13363139592647788,0.08169122923221284,0.049290721421868966,0.023661018196537324,0.013210428510974958,0.007212378797078251
33,2005-2009,Hyde Park,811.0,100.0,3664.0,2811.0,2345.0,1003.0,1087.0,1629.0,47980.73969,13577.0,1249.0,26541.0,12446.0,1578.0,8851.0,2847.0,23793.0,0.10726800045213067,0.33348404355525413,0.0594551825477563,0.4689348555065747,0.047059266794770356,0.5115481707546814,0.13805056327945442,0.10591160845484344,0.08835386760107004,0.037790588146641046,0.040955502806977885,0.061376737877246526
34,2005-2009,Irving Park,663.0,0.0,4237.0,5695.0,3305.0,2602.0,2241.0,2097.0,51154.86605,29259.0,3253.0,56513.0,24229.0,25449.0,1668.0,4004.0,55961.0,0.0708509546476032,0.02951533275529524,0.4503211650416718,0.4287332118273672,0.05756197689027304,0.5177392812273283,0.07497389981066303,0.10077327340611894,0.058482119158423725,0.04604250349477111,0.039654592748571124,0.03710650646753844
35,2005-2009,Jefferson Park,135.0,26.0,2106.0,2182.0,1833.0,1307.0,1488.0,1027.0,59387.79739,12930.0,1830.0,26771.0,18075.0,5343.0,369.0,2518.0,26744.0,0.09405700197975421,0.013783571775428636,0.19958163684584065,0.6751708938777035,0.06835755108139405,0.4829853199357514,0.07866721452317807,0.08150610735497367,0.06846961264054387,0.04882148593627433,0.055582533338313846,0.03836240708229054
36,2005-2009,Kenwood,453.0,25.0,3362.0,2100.0,1197.0,777.0,771.0,909.0,38263.10436,7575.0,1413.0,18180.0,3159.0,749.0,12840.0,1065.0,17852.0,0.05858085808580858,0.7062706270627063,0.0411991199119912,0.17376237623762375,0.07772277227722772,0.4166666666666667,0.18492849284928492,0.11551155115511551,0.06584158415841584,0.04273927392739274,0.04240924092409241,0.05
