,Unnamed: 0,LONGITUDE,LATITUDE,CCA
168,69719,-87.663769116,41.943374661,LAKE VIEW
169,69792,-87.624812444,41.893216223,
170,69842,-87.678062723,41.910364022,"WICKER PARK,WEST TOWN"
171,69930,-87.628815002,41.707206116,"WASHINGTON HEIGHTS,ROSELAND"
172,69969,-87.703727888,41.917539159,LOGAN SQUARE
173,69971,-87.635436571,41.881822494,LOOP
174,70028,-87.613882123,41.851019777,NEAR SOUTH SIDE
175,70067,-87.677515948,41.910278011,"WICKER PARK,WEST TOWN"
176,70137,-87.653208325,41.917732851,LINCOLN PARK
177,70139,-87.651182688,41.833618869,BRIDGEPORT
178,70285,-87.805905466,41.981000342,NORWOOD PARK
179,70328,-87.627948771,41.883108627,LOOP
180,70414,-87.663769116,41.943374661,LAKE VIEW
181,70416,-87.621986906,41.899351735,
182,70489,-87.655843244,41.973408536,UPTOWN
183,70511,-87.807347168,41.950755392,DUNNING
184,70556,-87.673315916,41.866905838,"LITTLE ITALY, UIC"
185,70565,-87.659213209,41.903590314,"WICKER PARK,WEST TOWN"
186,70609,-87.667068678,41.714,BEVERLY
187,70630,-87.660604008,41.858709158,LOWER WEST SIDE
188,70735,-87.629610541,41.895773515,RUSH & DIVISION
189,70856,-87.632582135,41.885444388,LOOP
190,70971,-87.605084912,41.791260618,HYDE PARK
191,70983,-87.644198417,41.938435181,LAKE VIEW
192,70997,-87.623919868,41.851688372,NEAR SOUTH SIDE
193,71047,-87.651612251,41.884445042,WEST LOOP
194,71137,-87.58494662,41.793514076,HYDE PARK
195,71202,-87.673923954,41.886928139,UNITED CENTER
196,71235,-87.672516933,41.910671666,"WICKER PARK,WEST TOWN"
197,71298,-87.625850989,41.883111687,LOOP
198,71322,-87.649176566,41.941696341,LAKE VIEW
199,71354,-87.642058833,41.867728804,WEST LOOP
200,71369,-87.599498495,41.788690225,HYDE PARK
201,71414,-87.66161251,41.89605275,"WICKER PARK,WEST TOWN"
202,71679,-87.648654193,41.891732865,"WICKER PARK,WEST TOWN"
203,71778,-87.65104908,41.927234066,SHEFFIELD & DEPAUL
204,71875,-87.634729782,41.906926209,OLD TOWN
205,71934,-87.66100296,42.004715699,ROGERS PARK
206,72008,-87.692286234,41.97432474,LINCOLN SQUARE
207,72174,-87.586294285,41.759123815,"SOUTH SHORE, GRAND CROSSING"
208,72192,-87.604813722,41.789041956,HYDE PARK
209,72254,-87.627305436,41.855885131,NEAR SOUTH SIDE
210,72308,-87.575451405,41.77863625,JACKSON PARK
211,72332,-87.636523872,41.878560154,LOOP
212,72394,-87.632831712,41.895283321,RIVER NORTH
213,72548,-87.649515482,41.925552885,SHEFFIELD & DEPAUL
214,72569,-87.693856639,41.968461303,LINCOLN SQUARE
215,72658,-87.668567175,41.976230337,ANDERSONVILLE
216,72678,-87.747161464,41.944316998,PORTAGE PARK
217,72686,-87.7108253,41.924785635,LOGAN SQUARE
218,72721,-87.651210937,41.940826003,LAKE VIEW
219,72722,-87.627948771,41.883108627,LOOP
220,72734,-87.624272468,41.900801649,STREETERVILLE
221,72740,-87.802627064,41.938165696,DUNNING
222,72792,-87.630056903,41.903812639,RUSH & DIVISION
223,72844,-87.675048238,41.954094914,NORTH CENTER
224,72893,-87.645770127,41.836116984,BRIDGEPORT
225,73058,-87.636523872,41.878560154,LOOP
226,73190,-87.679429001,41.943096883,NORTH CENTER
